price,mean_commute_time,median_home_value,percent_bachelors_or_higher,percent_below_poverty,percent_highschool_or_higher,percent_no_health_insurance,rating,review_count,unemployment_rate,median_household_income,population,density,income_category,price_weight,price_weight_contr,price_weight_contrv2,zip_code,high_price,4_star,zip_code.1,inc_cat2,inc_cat3
1.7571428571428571,32.59999999999996,565300.0,70.5,9.299999999999997,97.10000000000014,0.7000000000000007,3.835714285714286,105.52857142857141,3.6999999999999953,121725.0,28333.0,3330.3999999999965,3.0,770.35,2.7189143401687086,2.389944083375771,2474,2,0,2474,4,2
1.8484848484848484,31.89999999999999,595600.0,69.09999999999997,11.300000000000004,96.90000000000003,1.899999999999999,3.636363636363636,124.87878787878788,3.5,95076.0,16814.0,3049.800000000001,3.0,871.8636363636364,5.185343382678939,3.9469273440963706,2476,2,0,2476,3,2
3.0,29.4,758900.0,72.7,3.9,96.5,2.2,3.0,191.0,4.4,204716.0,26033.0,2050.7,3.0,1719.0,6.603157530826259,3.4571505396996116,2478,1,0,2478,4,2
2.0,28.2,695000.0,69.7,4.6,97.5,2.6,4.5,33.0,5.6,126674.0,10477.0,1249.9,3.0,297.0,2.8347809487448696,8.590245299226877,2494,0,0,2494,4,2
2.0,26.2,337600.0,37.6,2.2,96.2,2.7,3.0,16.0,5.2,70824.0,14101.0,232.6,2.0,96.0,0.6808027799446847,4.25501737465428,2649,0,0,2649,3,2
1.6756756756756757,30.60000000000001,273900.0,31.20000000000002,7.300000000000005,89.09999999999997,2.5999999999999988,3.0945945945945947,60.81081081081082,6.699999999999997,300000.0,44548.0,628.4000000000002,3.0,321.09459459459464,0.7207834124867436,1.1618199864585783,2703,0,0,2703,4,2
2.0,25.3,319800.0,26.5,12.9,84.0,2.0,4.5,3.0,7.1,73608.0,23512.0,181.4,2.0,27.0,0.11483497788363388,3.827832596121129,2747,0,0,2747,3,2
2.0,29.0,330500.0,39.0,8.5,93.5,2.200000000000001,3.121212121212121,34.666666666666664,5.6999999999999975,84033.0,27345.0,575.1,2.0,203.95454545454547,0.7458568127794678,2.199726280911141,2760,4,2,2760,3,2
3.0,30.6,326700.0,40.2,5.6,95.3,2.4,4.5,18.0,4.7,300000.0,19634.0,264.0,3.0,238.5,1.2147295507792606,6.875827645920342,2766,1,1,2766,4,2
1.0,29.2,243500.0,19.6,13.3,83.5,2.6,3.5,12.0,6.2,56700.0,50264.0,573.0,2.0,42.0,0.08355880948591438,0.6963234123826199,2780,0,0,2780,2,1
1.0,27.6,216800.0,25.9,7.7,91.6,4.0,2.5,7.0,7.0,59473.0,32825.0,332.3,2.0,17.5,0.053313023610053314,0.7616146230007617,2816,0,0,2816,2,1
1.0,24.6,385600.0,57.1,9.1,96.6,3.9,5.0,1.0,4.8,123082.0,18190.0,319.7,3.0,5.0,0.027487630566245192,2.748763056624519,2818,0,0,2818,4,2
2.0,27.6,251600.0,33.9,4.0,93.3,4.1,3.5,6.0,4.4,81508.0,5935.0,119.5,2.0,42.0,0.7076663858466723,11.794439764111203,2830,0,0,2830,3,2
2.0,20.2,405700.0,52.0,7.8,92.8,10.1,2.5,3.0,4.6,300000.0,23211.0,1247.6,3.0,15.0,0.06462453147214682,2.1541510490715607,2840,0,0,2840,4,2
